3262,48318,1
2677,47733,0
3016,48072,0
582,45638,0
2073,47129,0
1137,46193,0
3991,49047,0
2948,48004,0
4094,49150,0
2088,47144,0
983,46039,0
1574,46630,0
1039,46095,0
2989,48045,0
2348,47404,0
378,45434,0
4094,49150,0
2111,47167,0
4094,49150,0
3011,48067,0
3206,48262,0
851,45907,0
1180,46236,0
2622,47678,0
1971,47027,0
2507,47563,0
1911,46967,0
1874,46930,0
895,45951,0
1526,46582,0
1063,46119,0
2142,47198,0
1420,46476,0
2884,47940,0
3860,48916,0
281,45337,0
1366,46422,0
1898,46954,0
1502,46558,0
1186,46242,0
1801,46857,0
1236,46292,0
3003,48059,0
3527,48583,0
3259,48315,0
1293,46349,0
1513,46569,0
1151,46207,0
3736,48792,0
1558,46614,0
1023,46079,0
2202,47258,0
3403,48459,0
2591,47647,0
2385,47441,0
3197,48253,0
877,45933,0
1250,46306,0
3340,48396,0
2098,47154,0
2616,47672,0
3920,48976,0
1305,46361,0
1161,46217,0
2747,47803,0
1362,46418,0
1991,47047,0
2460,47516,0
2087,47143,0
2295,47351,0
1066,46122,0
779,45835,0
2158,47214,0
2384,47440,0
1919,46975,0
526,45582,0
1411,46467,0
2154,47210,0
3442,48498,0
2742,47798,0
2938,47994,0
1613,46669,0
1981,47037,0
2501,47557,0
526,45582,0
1654,46710,0
3635,48691,0
1179,46235,0
1,45057,0
1,45057,0
1015,46071,0
3803,48859,0
776,45832,0
2772,47828,0
3490,48546,0
1900,46956,0
3367,48423,0
2544,47600,0
898,45954,0
1611,46667,0
1387,46443,0
2018,47074,0
1532,46588,0
1539,46595,0
2334,47390,0
353,45409,0
1,45057,0
2116,47172,0
2655,47711,0
1265,46321,0
1495,46551,0
2070,47126,0
2781,47837,0
2333,47389,0
1011,46067,0
1474,46530,0
148,45204,0
2530,47586,0
3408,48464,0
639,45695,0
2239,47295,0
2045,47101,0
2052,47108,0
2563,47619,0
1915,46971,0
4094,49150,0
1443,46499,0
3691,48747,0
1,45057,0
2110,47166,0
1112,46168,0
2932,47988,0
1513,46569,0
2313,47369,0
1924,46980,0
3150,48206,0
2387,47443,0
1947,47003,0
409,45465,0
782,45838,0
2512,47568,0
1737,46793,0
1687,46743,0
1988,47044,0
1852,46908,0
739,45795,0
1141,46197,0
1710,46766,0
1738,46794,0
2929,47985,0
855,45911,0
948,46004,0
1617,46673,0
2589,47645,0
1036,46092,0
897,45953,0
1281,46337,0
616,45672,0
1745,46801,0
2104,47160,0
1529,46585,0
2785,47841,0
3254,48310,0
1542,46598,0
80,45136,0
728,45784,0
3509,48565,0
1399,46455,0
2341,47397,0
2495,47551,0
2093,47149,0
1553,46609,0
3415,48471,0
1468,46524,0
1541,46597,0
2309,47365,0
1488,46544,0
1671,46727,0
3694,48750,0
3148,48204,0
1992,47048,0
607,45663,0
1010,46066,0
2728,47784,0
121,45177,0
2295,47351,0
4094,49150,0
970,46026,0
1458,46514,0
2143,47199,0
2106,47162,0
1351,46407,0
2460,47516,0
3201,48257,0
4064,49120,0
2237,47293,0
1327,46383,0
1870,46926,0
1339,46395,0
2167,47223,0
3528,48584,0
1751,46807,0
751,45807,0
3620,48676,0
226,45282,0
724,45780,0
761,45817,0
4094,49150,0
1948,47004,0
1396,46452,0
2484,47540,0
1268,46324,0
2027,47083,0
298,45354,0
2218,47274,0
1652,46708,0
1641,46697,0
1235,46291,0
933,45989,0
3052,48108,0
944,46000,0
1565,46621,0
4094,49150,0
2719,47775,0
2508,47564,0
1084,46140,0
1510,46566,0
3075,48131,0
1,45057,0
2085,47141,0
1148,46204,0
2692,47748,0
2994,48050,0
1915,46971,0
3569,48625,0
1105,46161,0
945,46001,0
1903,46959,0
1896,46952,0
4094,49150,0
1185,46241,0
1694,46750,0
745,45801,0
3015,48071,0
2799,47855,0
1694,46750,0
3938,48994,0
337,45393,0
1,45057,0
3774,48830,0
2873,47929,0
3439,48495,0
2210,47266,0
1069,46125,0
2860,47916,0
2962,48018,0
2093,47149,0
2976,48032,0
1362,46418,0
2066,47122,0
2781,47837,0
1867,46923,0
1923,46979,0
531,45587,0
1153,46209,0
2042,47098,0
3276,48332,0
2146,47202,0
2420,47476,0
1571,46627,0
3654,48710,0
3594,48650,0
1435,46491,0
2237,47293,0
