,lru_l,lru_g,fifo_l,fifo_g,mru_l,mru_g,lfu_l,lfu_g,rr_l,rr_g,lru_l,lru_g,fifo_l,fifo_g,mru_l,mru_g,lfu_l,lfu_g,rr_l,rr_g,lru_l,lru_g,fifo_l,fifo_g,mru_l,mru_g,lfu_l,lfu_g,rr_l,rr_g,lru_l,lru_g,fifo_l,fifo_g,mru_l,mru_g,lfu_l,lfu_g,rr_l,rr_g,lru_l,lru_g,fifo_l,fifo_g,mru_l,mru_g,lfu_l,lfu_g,rr_l,rr_g
Page Fault,6,6,6,6,6,6,6,6,6,6,2,2,2,2,3,3,2,2,2,2,4,4,5,5,4,4,4,3,4,5,10,11,11,11,10,10,12,13,14,13,6,4,7,7,6,7,5,4,5,5
Page Hit,8749,8739,8748,8751,8755,8762,8743,8747,8745,8751,7759,7765,7776,7781,7755,7770,7779,7772,7777,7775,8232,8224,8234,8234,8214,8233,8241,8237,8238,8235,11084,11073,11078,11087,11079,11077,11073,11074,11077,11079,13203,13222,13232,13237,13203,13200,13232,13228,13229,13236
Page Replace,18,28,19,16,12,5,24,20,22,16,32,26,15,10,35,20,12,19,14,16,21,29,18,18,39,20,12,17,15,17,11,21,16,7,16,18,20,18,14,13,52,35,22,17,52,54,24,29,27,20
Process,P-0,P-0,P-0,P-0,P-0,P-0,P-0,P-0,P-0,P-0,P-1,P-1,P-1,P-1,P-1,P-1,P-1,P-1,P-1,P-1,P-2,P-2,P-2,P-2,P-2,P-2,P-2,P-2,P-2,P-2,P-3,P-3,P-3,P-3,P-3,P-3,P-3,P-3,P-3,P-3,P-4,P-4,P-4,P-4,P-4,P-4,P-4,P-4,P-4,P-4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Frame size = 16, Page size 2048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
