S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,180 Days,52 Weeks High,52 Weeks Low
80,PCBL,26.71,261,261,249,252,251.45,"33,352",264,"8,386,294",102,-12.00,12.00,-4.55,4.82,0.22,274.49,397.00,233.00
81,PFL,25.72,153,153,153,153,153.00,17,150,"2,601",1,3.00,0.00,2.00,0.00,0.00,142.50,178.00,127.00
82,PIC,30.25,489,489,489,489,489.00,25,498,"12,225",1,-9.00,0.00,-1.81,0.00,0.00,469.56,"1,310.00",329.00
83,PICL,32.89,397,428,397,404,409.00,330,390,"134,970",10,14.00,31.00,3.59,7.81,-1.24,489.33,784.00,349.00
84,PLIC,30.71,510,515,490,499,498.22,"4,996",520,"2,489,110",30,-21.00,25.00,-4.04,5.10,0.16,422.20,728.00,297.00
85,PRIN,31.82,360,360,350,360,354.95,730,364,"259,110",14,-4.00,10.00,-1.10,2.86,1.40,361.82,550.00,290.00
86,PROFL,25.61,102,102,102,102,102.00,10,103,"1,020",1,-1.00,0.00,-0.97,0.00,0.00,105.08,125.00,93.00
87,PRVU,29.28,230,234,220,225,221.74,"11,659",226,"2,585,269",46,-1.00,14.00,-0.44,6.36,1.45,252.63,304.00,212.00
88,RADHI,39.85,175,175,175,175,175.00,11,172,"1,925",2,3.00,0.00,1.74,0.00,0.00,146.47,209.00,125.00
89,RBCLPO,29.63,7301,7447,7301,7447,"7,374.00",20,7450,"147,480",2,-3.00,146.00,-0.04,2.00,0.98,"8,248.84","11,233.00","6,965.00"
90,RHPC,29.35,80,80,77,78,78.02,"3,050",81,"237,950",13,-3.00,3.00,-3.70,3.90,-0.02,81.39,104.00,69.00
91,RHPL,39.81,154,154,151,153,153.07,"10,240",151,"1,567,460",8,2.00,3.00,1.32,1.99,-0.05,-,292.00,144.00
92,RLFL,26.14,130,130,130,130,130.00,10,128,"1,300",1,2.00,0.00,1.56,0.00,0.00,122.83,157.00,106.00
93,RMDC,28.64,605,605,590,590,600.19,"1,593",615,"956,108",12,-25.00,15.00,-4.07,2.54,-1.73,646.17,900.00,519.00
94,RSDC,29.27,448,456,441,441,444.59,256,440,"113,816",6,1.00,15.00,0.23,3.40,-0.81,374.02,703.00,273.00
95,SABSL,32.85,709,709,709,709,709.00,11,723,"7,799",1,-14.00,0.00,-1.94,0.00,0.00,-,"1,050.00",302.00
96,SADBL,30.09,144,144,143,143,143.93,"1,079",142,"155,297",3,1.00,1.00,0.70,0.70,-0.65,149.14,194.00,132.00
97,SANIMA,31.91,326,332,317,324,319.17,"11,110",320,"3,545,950",31,4.00,15.00,1.25,4.73,1.49,336.69,437.00,292.00
98,SBI,24.30,412,420,412,412,412.49,570,420,"235,120",6,-8.00,8.00,-1.90,1.94,-0.12,419.07,583.00,344.00
99,SBL,30.21,297,297,286,289,289.16,"11,987",292,"3,466,184",25,-3.00,11.00,-1.03,3.85,-0.06,310.27,393.00,273.00
100,SCB,26.73,595,595,583,590,587.89,"4,563",604,"2,682,559",38,-14.00,12.00,-2.32,2.06,0.36,605.97,850.00,521.00
101,SDESI,29.30,775,775,775,775,775.00,99,788,"76,725",1,-13.00,0.00,-1.65,0.00,0.00,680.66,"1,247.00",516.00
102,SHINE,26.81,256,256,255,255,255.28,"1,770",260,"451,850",5,-5.00,1.00,-1.92,0.39,-0.11,256.18,337.00,219.00
103,SHIVM,28.64,504,504,485,487,489.94,"6,300",500,"3,086,630",34,-13.00,19.00,-2.60,3.92,-0.60,527.12,738.00,300.00
104,SHL,37.69,161,169,161,166,165.00,600,158,"99,000",6,8.00,8.00,5.06,4.97,0.60,209.15,259.00,152.00
105,SHPC,32.19,200,200,198,198,198.67,600,200,"119,200",3,-2.00,2.00,-1.00,1.01,-0.34,209.65,308.00,165.00
106,SICL,34.33,845,846,830,845,836.00,410,842,"342,760",8,3.00,16.00,0.36,1.93,1.07,849.57,"1,370.00",700.00
107,SIFC,28.34,141,141,141,141,141.00,500,143,"70,500",2,-2.00,0.00,-1.40,0.00,0.00,156.09,180.00,132.00
108,SIL,28.71,460,460,460,460,460.00,40,460,"18,400",1,0.00,0.00,0.00,0.00,0.00,450.61,698.00,351.00
109,SINDU,30.30,129,131,125,125,126.09,"1,772",127,"223,424",9,-2.00,6.00,-1.57,4.80,-0.87,131.64,158.00,116.00
110,SJCL,26.63,142,142,141,141,141.40,500,140,"70,700",3,1.00,1.00,0.71,0.71,-0.28,-,294.00,139.00
111,SKBBL,31.88,984,1023,975,990,981.14,"1,727",1004,"1,694,430",20,-14.00,48.00,-1.39,4.92,0.89,980.59,"1,445.00",775.00
112,SLBBL,34.19,775,775,760,774,768.47,550,790,"422,660",9,-16.00,15.00,-2.03,1.97,0.71,628.14,"1,070.00",402.00
113,SLICL,31.89,365,399,365,377,376.19,"2,270",372,"853,960",24,5.00,34.00,1.34,9.32,0.21,355.64,619.00,237.00
114,SMB,32.53,768,784,768,784,773.67,30,754,"23,210",3,30.00,16.00,3.98,2.08,1.32,574.54,"1,164.00",381.00
115,SPARS,33.97,700,700,693,693,695.76,76,707,"52,878",2,-14.00,7.00,-1.98,1.01,-0.40,631.49,"1,096.00",302.00
116,SRBL,32.87,236,236,230,233,233.42,"4,902",240,"1,144,207",19,-7.00,6.00,-2.92,2.61,-0.18,235.35,316.00,204.00
117,STC,32.22,2393,2400,2392,2400,"2,394.63",80,2440,"191,570",3,-40.00,8.00,-1.64,0.33,0.22,-,"3,181.00",420.00
118,TRH,32.03,206,206,202,206,204.48,"1,575",210,"322,050",9,-4.00,4.00,-1.90,1.98,0.74,290.34,339.00,201.00
119,UIC,31.52,313,313,301,307,304.19,636,307,"193,468",13,0.00,12.00,0.00,3.99,0.91,377.33,"1,100.00",212.00
120,UMHL,33.29,100,100,100,100,100.00,519,101,"51,900",1,-1.00,0.00,-0.99,0.00,0.00,106.12,133.00,98.00
121,UPCL,36.01,73,73,73,73,73.00,10,72,730,1,1.00,0.00,1.39,0.00,0.00,78.93,300.00,69.00
122,UPPER,36.61,230,230,225,227,226.40,"2,893",230,"654,989",19,-3.00,5.00,-1.30,2.22,0.26,245.05,326.00,221.00
