1959,10151,1
2017,10209,0
2227,10419,0
2191,10383,0
2099,10291,0
1952,10144,0
1838,10030,0
2127,10319,0
2200,10392,0
1948,10140,0
2315,10507,0
2056,10248,0
1972,10164,0
2160,10352,0
2043,10235,0
1996,10188,0
2029,10221,0
2014,10206,0
2032,10224,0
2040,10232,0
2032,10224,0
1895,10087,0
1967,10159,0
2218,10410,0
1887,10079,0
2017,10209,0
2014,10206,0
2183,10375,0
1993,10185,0
1927,10119,0
2031,10223,0
2064,10256,0
2084,10276,0
1949,10141,0
1924,10116,0
2095,10287,0
2017,10209,0
2125,10317,0
2166,10358,0
1927,10119,0
2168,10360,0
2105,10297,0
2076,10268,0
2166,10358,0
2029,10221,0
1943,10135,0
2045,10237,0
1980,10172,0
1846,10038,0
1954,10146,0
1912,10104,0
2190,10382,0
2084,10276,0
2097,10289,0
2209,10401,0
1953,10145,0
2083,10275,0
2150,10342,0
2095,10287,0
2098,10290,0
2275,10467,0
2053,10245,0
2054,10246,0
2079,10271,0
2101,10293,0
2084,10276,0
2274,10466,0
2116,10308,0
1957,10149,0
2000,10192,0
1960,10152,0
2009,10201,0
2183,10375,0
2110,10302,0
2017,10209,0
2162,10354,0
2125,10317,0
1990,10182,0
2106,10298,0
2223,10415,0
1882,10074,0
2085,10277,0
2044,10236,0
1900,10092,0
2066,10258,0
1863,10055,0
2073,10265,0
2041,10233,0
2119,10311,0
2185,10377,0
1874,10066,0
2023,10215,0
1853,10045,0
2058,10250,0
1953,10145,0
1799,9991,0
2087,10279,0
1902,10094,0
2116,10308,0
1988,10180,0
2072,10264,0
1924,10116,0
2002,10194,0
2171,10363,0
2092,10284,0
1904,10096,0
2091,10283,0
2044,10236,0
1990,10182,0
1906,10098,0
2033,10225,0
2207,10399,0
1969,10161,0
2072,10264,0
2142,10334,0
2040,10232,0
1867,10059,0
2098,10290,0
2069,10261,0
1871,10063,0
2046,10238,0
1957,10149,0
2037,10229,0
2062,10254,0
2024,10216,0
2117,10309,0
2082,10274,0
2194,10386,0
2029,10221,0
2110,10302,0
2044,10236,0
2127,10319,0
2070,10262,0
1881,10073,0
1889,10081,0
2139,10331,0
1954,10146,0
2034,10226,0
2185,10377,0
2081,10273,0
1989,10181,0
2047,10239,0
2258,10450,0
1963,10155,0
2099,10291,0
2105,10297,0
2070,10262,0
2092,10284,0
1892,10084,0
1995,10187,0
2127,10319,0
1880,10072,0
1953,10145,0
1982,10174,0
2045,10237,0
2155,10347,0
1972,10164,0
1955,10147,0
2082,10274,0
1969,10161,0
1932,10124,0
2170,10362,0
2072,10264,0
2043,10235,0
1853,10045,0
2009,10201,0
2164,10356,0
2075,10267,0
1833,10025,0
2061,10253,0
2015,10207,0
2012,10204,0
2164,10356,0
1946,10138,0
2014,10206,0
1846,10038,0
1936,10128,0
2046,10238,0
2139,10331,0
1964,10156,0
2150,10342,0
2120,10312,0
1958,10150,0
2104,10296,0
2018,10210,0
2054,10246,0
1825,10017,0
1932,10124,0
2015,10207,0
1906,10098,0
2076,10268,0
1951,10143,0
2241,10433,0
2147,10339,0
1927,10119,0
2125,10317,0
1970,10162,0
1994,10186,0
2065,10257,0
1981,10173,0
2083,10275,0
2059,10251,0
2065,10257,0
2306,10498,0
2052,10244,0
2139,10331,0
2010,10202,0
2117,10309,0
1798,9990,0
2042,10234,0
1927,10119,0
1964,10156,0
2046,10238,0
1968,10160,0
1972,10164,0
2251,10443,0
2091,10283,0
1988,10180,0
2057,10249,0
2090,10282,0
2119,10311,0
2100,10292,0
1903,10095,0
2129,10321,0
1832,10024,0
1953,10145,0
2039,10231,0
1999,10191,0
2207,10399,0
2223,10415,0
2060,10252,0
1987,10179,0
2302,10494,0
1971,10163,0
2127,10319,0
2009,10201,0
2027,10219,0
2031,10223,0
2062,10254,0
2069,10261,0
2063,10255,0
2070,10262,0
1962,10154,0
1938,10130,0
2210,10402,0
2081,10273,0
2150,10342,0
1869,10061,0
1999,10191,0
1875,10067,0
2067,10259,0
1910,10102,0
2036,10228,0
1959,10151,0
2141,10333,0
2097,10289,0
2055,10247,0
2011,10203,0
1984,10176,0
1992,10184,0
2177,10369,0
2022,10214,0
2019,10211,0
1913,10105,0
2063,10255,0
2159,10351,0
1917,10109,0
1977,10169,0
2122,10314,0
2017,10209,0
1842,10034,0
2008,10200,0
2157,10349,0
1965,10157,0
2027,10219,0
1973,10165,0
1964,10156,0
2073,10265,0
2045,10237,0
2047,10239,0
2131,10323,0
1955,10147,0
2144,10336,0
2097,10289,0
1977,10169,0
2018,10210,0
2142,10334,0
2039,10231,0
2003,10195,0
2058,10250,0
2156,10348,0
1955,10147,0
2119,10311,0
1995,10187,0
2147,10339,0
2069,10261,0
2203,10395,0
1976,10168,0
2083,10275,0
2076,10268,0
2073,10265,0
2085,10277,0
2064,10256,0
2205,10397,0
2096,10288,0
2187,10379,0
1919,10111,0
2247,10439,0
2087,10279,0
2096,10288,0
2173,10365,0
1951,10143,0
2164,10356,0
2247,10439,0
2233,10425,0
1889,10081,0
1947,10139,0
1913,10105,0
2218,10410,0
1895,10087,0
1938,10130,0
2118,10310,0
2092,10284,0
2076,10268,0
1984,10176,0
2044,10236,0
2117,10309,0
2164,10356,0
2049,10241,0
2064,10256,0
2204,10396,0
2033,10225,0
2162,10354,0
2032,10224,0
2080,10272,0
1942,10134,0
2146,10338,0
2048,10240,0
1989,10181,0
2186,10378,0
1991,10183,0
2021,10213,0
1922,10114,0
1960,10152,0
2135,10327,0
1911,10103,0
2125,10317,0
2095,10287,0
2060,10252,0
2106,10298,0
2066,10258,0
2075,10267,0
1929,10121,0
1941,10133,0
2172,10364,0
2203,10395,0
1992,10184,0
2017,10209,0
2028,10220,0
2087,10279,0
2134,10326,0
1987,10179,0
2022,10214,0
2218,10410,0
1724,9916,0
1934,10126,0
2067,10259,0
1965,10157,0
2169,10361,0
2112,10304,0
1954,10146,0
1989,10181,0
2117,10309,0
2136,10328,0
2176,10368,0
1956,10148,0
2150,10342,0
1894,10086,0
1908,10100,0
2071,10263,0
2086,10278,0
1931,10123,0
2036,10228,0
2064,10256,0
1878,10070,0
2045,10237,0
1976,10168,0
2075,10267,0
1989,10181,0
2134,10326,0
1935,10127,0
2136,10328,0
2081,10273,0
2120,10312,0
1948,10140,0
2036,10228,0
2009,10201,0
2174,10366,0
1995,10187,0
2066,10258,0
2091,10283,0
1758,9950,0
2101,10293,0
2089,10281,0
2120,10312,0
2071,10263,0
2196,10388,0
2105,10297,0
2154,10346,0
2027,10219,0
2094,10286,0
2081,10273,0
2069,10261,0
1846,10038,0
2033,10225,0
2077,10269,0
1919,10111,0
1964,10156,0
2094,10286,0
1851,10043,0
2103,10295,0
2039,10231,0
1936,10128,0
2077,10269,0
1977,10169,0
1922,10114,0
2005,10197,0
1874,10066,0
2317,10509,0
1928,10120,0
1904,10096,0
2006,10198,0
2079,10271,0
2071,10263,0
2053,10245,0
1766,9958,0
2100,10292,0
2042,10234,0
2064,10256,0
2219,10411,0
2241,10433,0
2271,10463,0
2301,10493,0
1908,10100,0
2083,10275,0
2029,10221,0
2067,10259,0
1835,10027,0
2130,10322,0
2245,10437,0
2056,10248,0
1933,10125,0
2124,10316,0
2114,10306,0
1928,10120,0
2081,10273,0
2081,10273,0
2049,10241,0
2117,10309,0
2073,10265,0
2113,10305,0
2107,10299,0
2088,10280,0
2054,10246,0
1969,10161,0
2177,10369,0
2004,10196,0
1902,10094,0
2076,10268,0
1995,10187,0
2004,10196,0
2354,10546,0
2045,10237,0
1998,10190,0
2143,10335,0
2057,10249,0
1914,10106,0
2020,10212,0
1897,10089,0
1954,10146,0
2174,10366,0
2048,10240,0
2006,10198,0
2067,10259,0
2042,10234,0
1938,10130,0
2193,10385,0
2037,10229,0
1913,10105,0
2021,10213,0
2048,10240,0
1905,10097,0
1878,10070,0
2000,10192,0
2222,10414,0
2015,10207,0
1988,10180,0
2163,10355,0
2090,10282,0
1982,10174,0
1998,10190,0
1962,10154,0
2103,10295,0
1899,10091,0
2235,10427,0
2100,10292,0
2025,10217,0
2276,10468,0
2076,10268,0
2027,10219,0
1950,10142,0
1870,10062,0
2054,10246,0
2071,10263,0
1956,10148,0
2076,10268,0
2077,10269,0
1955,10147,0
2094,10286,0
1992,10184,0
2146,10338,0
1962,10154,0
2030,10222,0
2087,10279,0
1865,10057,0
2214,10406,0
2217,10409,0
2035,10227,0
1923,10115,0
2053,10245,0
2030,10222,0
1963,10155,0
1919,10111,0
2101,10293,0
2064,10256,0
2048,10240,0
2039,10231,0
1970,10162,0
1889,10081,0
2087,10279,0
2094,10286,0
2076,10268,0
2017,10209,0
1942,10134,0
1894,10086,0
1975,10167,0
1877,10069,0
2030,10222,0
2355,10547,0
1986,10178,0
2040,10232,0
2053,10245,0
2059,10251,0
2155,10347,0
2130,10322,0
2044,10236,0
2054,10246,0
2098,10290,0
2004,10196,0
2220,10412,0
2078,10270,0
1823,10015,0
2163,10355,0
2144,10336,0
1911,10103,0
2069,10261,0
2171,10363,0
1959,10151,0
2168,10360,0
2038,10230,0
2189,10381,0
1981,10173,0
1959,10151,0
1954,10146,0
2052,10244,0
2076,10268,0
1991,10183,0
2038,10230,0
2123,10315,0
2172,10364,0
2025,10217,0
2008,10200,0
2119,10311,0
1922,10114,0
2037,10229,0
2159,10351,0
2068,43028,2
2086,43046,0
2051,43011,0
1827,42787,0
2036,42996,0
1985,42945,0
2161,43121,0
2168,43128,0
1918,42878,0
2051,43011,0
2109,43069,0
2067,43027,0
2092,43052,0
1974,42934,0
2016,42976,0
2174,43134,0
2011,42971,0
2198,43158,0
2138,43098,0
2135,43095,0
2082,43042,0
2157,43117,0
2037,42997,0
2035,42995,0
2031,42991,0
1844,42804,0
1912,42872,0
2079,43039,0
1976,42936,0
1896,42856,0
1936,42896,0
2119,43079,0
2160,43120,0
2082,43042,0
2094,43054,0
2169,43129,0
1859,42819,0
2177,43137,0
2186,43146,0
1896,42856,0
2049,43009,0
2077,43037,0
1925,42885,0
2119,43079,0
2073,43033,0
2032,42992,0
2133,43093,0
1959,42919,0
1990,42950,0
2150,43110,0
2148,43108,0
1905,42865,0
2122,43082,0
1956,42916,0
1849,42809,0
2202,43162,0
1951,42911,0
2020,42980,0
1991,42951,0
1941,42901,0
2077,43037,0
2076,43036,0
2072,43032,0
2045,43005,0
1987,42947,0
1951,42911,0
2070,43030,0
2005,42965,0
2075,43035,0
1924,42884,0
2112,43072,0
2095,43055,0
1810,42770,0
2252,43212,0
2105,43065,0
1971,42931,0
2079,43039,0
1963,42923,0
2155,43115,0
2131,43091,0
1953,42913,0
1983,42943,0
2014,42974,0
2081,43041,0
1980,42940,0
2146,43106,0
2128,43088,0
1964,42924,0
2043,43003,0
2148,43108,0
2006,42966,0
2094,43054,0
1800,42760,0
2025,42985,0
2058,43018,0
1874,42834,0
1869,42829,0
1986,42946,0
2026,42986,0
1961,42921,0
2242,43202,0
2068,43028,0
2232,43192,0
2160,43120,0
1967,42927,0
2059,43019,0
2096,43056,0
2080,43040,0
2116,43076,0
1886,42846,0
2009,42969,0
1983,42943,0
2155,43115,0
1953,42913,0
2112,43072,0
2034,42994,0
1980,42940,0
2086,43046,0
1994,42954,0
1962,42922,0
2034,42994,0
1961,42921,0
1750,42710,0
2151,43111,0
2025,42985,0
2014,42974,0
2232,43192,0
2129,43089,0
2053,43013,0
2007,42967,0
2003,42963,0
2046,43006,0
2023,42983,0
2177,43137,0
1997,42957,0
2057,43017,0
2074,43034,0
2052,43012,0
1967,42927,0
2027,42987,0
2052,43012,0
2115,43075,0
2001,42961,0
2024,42984,0
2000,42960,0
2017,42977,0
1973,42933,0
2015,42975,0
2038,42998,0
2105,43065,0
2129,43089,0
1874,42834,0
1996,42956,0
2005,42965,0
1881,42841,0
2019,42979,0
2200,43160,0
2003,42963,0
2176,43136,0
2174,43134,0
2182,43142,0
1989,42949,0
2159,43119,0
2183,43143,0
2013,42973,0
1825,42785,0
2006,42966,0
2089,43049,0
2023,42983,0
2147,43107,0
2066,43026,0
2094,43054,0
1989,42949,0
2138,43098,0
2175,43135,0
1848,42808,0
2043,43003,0
2119,43079,0
2178,43138,0
1949,42909,0
2090,43050,0
2000,42960,0
1951,42911,0
2008,42968,0
2130,43090,0
2107,43067,0
2010,42970,0
2070,43030,0
2135,43095,0
2157,43117,0
1887,42847,0
2035,42995,0
1920,42880,0
2036,42996,0
2113,43073,0
1960,42920,0
1894,42854,0
2013,42973,0
1977,42937,0
2252,43212,0
2109,43069,0
2107,43067,0
2030,42990,0
1974,42934,0
2178,43138,0
2010,42970,0
2179,43139,0
1966,42926,0
2132,43092,0
2001,42961,0
2002,42962,0
2034,42994,0
2086,43046,0
8146,49106,2
1993,42953,0
13544,50408,2
2345,43305,0
13139,50003,0
12747,49611,0
1199,42159,0
9475,54531,2
1427,42387,0
4057,45017,0
6358,47318,0
4332,45292,0
6103,47063,0
1912,42872,0
10940,55996,0
267,41227,0
517,41477,0
3468,44428,0
6505,47465,0
4337,45297,0
7399,48359,0
8305,53361,0
616,41576,0
9685,54741,0
9465,54521,0
3670,44630,0
12008,57064,0
3724,44684,0
12327,49191,0
4839,45799,0
13222,50086,0
9852,54908,0
9724,54780,0
11517,56573,0
1280,42240,0
6389,47349,0
10559,55615,0
4868,45828,0
6981,47941,0
9372,54428,0
557,41517,0
6559,47519,0
4571,45531,0
12927,49791,0
1963,42923,0
14268,51132,0
8394,53450,0
6544,47504,0
2479,43439,0
747,41707,0
4067,45027,0
896,41856,0
9760,54816,0
10177,55233,0
5973,46933,0
1116,42076,0
13950,50814,0
3566,44526,0
2934,43894,0
12150,57206,0
6026,46986,0
5555,46515,0
13528,50392,0
6176,47136,0
12825,49689,0
1159,42119,0
8448,53504,0
1091,42051,0
12333,49197,0
6775,47735,0
4207,45167,0
5138,46098,0
12976,49840,0
3190,44150,0
11321,56377,0
1059,42019,0
10990,56046,0
10801,55857,0
12135,57191,0
13905,50769,0
8336,53392,0
13369,50233,0
2068,43028,0
5477,46437,0
2050,43010,0
14174,51038,0
13204,50068,0
136,41096,0
2638,43598,0
14362,51226,0
14172,51036,0
14476,51340,0
14134,50998,0
14363,51227,0
14269,51133,0
14384,51248,0
14271,51135,0
14306,51170,0
14245,51109,0
14377,51241,0
14143,51007,0
14337,51201,0
14344,51208,0
14338,51202,0
14181,51045,0
14446,51310,0
14290,51154,0
14249,51113,0
14357,51221,0
14209,51073,0
14352,51216,0
14389,51253,0
14350,51214,0
14318,51182,0
14231,51095,0
14327,51191,0
14297,51161,0
14341,51205,0
14373,51237,0
14497,51361,0
14376,51240,0
14408,51272,0
14350,51214,0
14434,51298,0
14363,51227,0
14468,51332,0
14353,51217,0
14434,51298,0
14307,51171,0
14414,51278,0
14314,51178,0
14415,51279,0
14446,51310,0
14139,51003,0
14177,51041,0
14194,51058,0
14630,51494,0
14393,51257,0
14339,51203,0
14269,51133,0
14465,51329,0
14342,51206,0
14246,51110,0
14313,51177,0
14428,51292,0
14373,51237,0
14334,51198,0
14297,51161,0
14353,51217,0
14215,51079,0
14311,51175,0
14424,51288,0
14428,51292,0
14221,51085,0
14423,51287,0
14353,51217,0
14234,51098,0
14274,51138,0
14251,51115,0
14332,51196,0
14386,51250,0
14298,51162,0
14375,51239,0
14329,51193,0
14323,51187,0
14420,51284,0
14457,51321,0
